Fluxo;Ano;mes_numero;mes_nome;Município;País;Código SH4;Valor US$ FOB;Quilograma Líquido;Descrição SH4
Importação;2021;7;Julho;Cubatão - SP;Chile;2501;1100647;51341322;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;7;Julho;Guarujá - SP;Estados Unidos;2815;177879;1098332;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;7;Julho;Santos - SP;Argentina;1001;10301845;37443500;Trigo e mistura de trigo com centeio
Importação;2021;6;Junho;Cubatão - SP;Chile;2501;1099417;51535311;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;6;Junho;Guarujá - SP;Estados Unidos;2815;3855498;20042152;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;6;Junho;Santos - SP;Argentina;1001;17592242;64626340;Trigo e mistura de trigo com centeio
Importação;2021;5;Maio;Cubatão - SP;Chile;2501;1027165;48225629;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;5;Maio;Guarujá - SP;Estados Unidos;2815;384042;2020099;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;5;Maio;Santos - SP;Argentina;1001;14678572;54671340;Trigo e mistura de trigo com centeio
Importação;2021;4;Abril;Cubatão - SP;Chile;2501;1091814;51218338;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;4;Abril;Guarujá - SP;Estados Unidos;2815;2420380;14621569;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;4;Abril;Santos - SP;Argentina;1001;5410397;20271870;Trigo e mistura de trigo com centeio
Importação;2021;3;Março;Cubatão - SP;Chile;2501;1090407;51180024;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;3;Março;Guarujá - SP;Estados Unidos;2815;5121901;32577362;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;3;Março;Santos - SP;Argentina;1001;23111323;87850000;Trigo e mistura de trigo com centeio
Importação;2021;2;Fevereiro;Cubatão - SP;Chile;2501;1047695;48709703;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;2;Fevereiro;Guarujá - SP;Estados Unidos;2815;4643118;30230426;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;2;Fevereiro;Santos - SP;Argentina;1001;10098349;38876000;Trigo e mistura de trigo com centeio
Importação;2021;1;Janeiro;Cubatão - SP;Chile;2501;1116722;52030951;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2021;1;Janeiro;Guarujá - SP;Estados Unidos;2815;4443858;29073987;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2021;1;Janeiro;Santos - SP;Argentina;1001;13899427;54010000;Trigo e mistura de trigo com centeio
Exportação;2024;11;Novembro;Cubatão - SP;China;1201;133588;295961;Soja, mesmo triturada
Exportação;2024;11;Novembro;Guarujá - SP;China;1201;85672;200000;Soja, mesmo triturada
Exportação;2024;10;Outubro;Cubatão - SP;China;1201;3456650;7747897;Soja, mesmo triturada
Exportação;2024;10;Outubro;Santos - SP;China;1201;14784789;35016285;Soja, mesmo triturada
Exportação;2024;9;Setembro;Cubatão - SP;China;1201;1403663;3306747;Soja, mesmo triturada
Exportação;2024;9;Setembro;Guarujá - SP;China;1201;19241958;45059969;Soja, mesmo triturada
Exportação;2024;9;Setembro;Santos - SP;China;1201;17507754;42000449;Soja, mesmo triturada
Exportação;2024;8;Agosto;Cubatão - SP;China;1201;26676478;64400590;Soja, mesmo triturada
Exportação;2024;8;Agosto;Guarujá - SP;China;1201;63147685;145674729;Soja, mesmo triturada
Exportação;2024;8;Agosto;Santos - SP;China;1201;54009927;124324158;Soja, mesmo triturada
Exportação;2024;7;Julho;Cubatão - SP;China;1201;26674647;61763964;Soja, mesmo triturada
Exportação;2024;7;Julho;Guarujá - SP;China;1201;62929423;143430443;Soja, mesmo triturada
Exportação;2024;7;Julho;Santos - SP;China;1201;94683192;213029232;Soja, mesmo triturada
Exportação;2024;6;Junho;Cubatão - SP;China;1201;22129996;49168444;Soja, mesmo triturada
Exportação;2024;6;Junho;Guarujá - SP;China;1201;68200422;159284824;Soja, mesmo triturada
Exportação;2024;6;Junho;Santos - SP;China;1201;127228769;288480772;Soja, mesmo triturada
Exportação;2024;5;Maio;Cubatão - SP;China;1201;30378916;69576164;Soja, mesmo triturada
Exportação;2024;5;Maio;Guarujá - SP;China;1201;75080161;177283016;Soja, mesmo triturada
Exportação;2024;5;Maio;Santos - SP;China;1201;177210531;415406709;Soja, mesmo triturada
Exportação;2024;4;Abril;Cubatão - SP;China;1201;26479328;63094666;Soja, mesmo triturada
Exportação;2024;4;Abril;Guarujá - SP;China;1201;85160546;205046510;Soja, mesmo triturada
Exportação;2024;4;Abril;Santos - SP;China;1201;173341991;401054419;Soja, mesmo triturada
Exportação;2024;3;Março;Cubatão - SP;China;1201;55078073;137343051;Soja, mesmo triturada
Exportação;2024;3;Março;Guarujá - SP;China;1201;107893624;269317878;Soja, mesmo triturada
Exportação;2024;3;Março;Santos - SP;China;1201;225803364;524903040;Soja, mesmo triturada
Exportação;2024;2;Fevereiro;Cubatão - SP;China;1201;26413861;63102806;Soja, mesmo triturada
Exportação;2024;2;Fevereiro;Guarujá - SP;China;1201;86051590;203096336;Soja, mesmo triturada
Exportação;2024;2;Fevereiro;Santos - SP;China;1201;58057429;123996429;Soja, mesmo triturada
Exportação;2024;1;Janeiro;Cubatão - SP;China;1201;9093171;16215217;Soja, mesmo triturada
Exportação;2024;1;Janeiro;Santos - SP;China;1201;6042648;11442537;Soja, mesmo triturada
Importação;2024;12;Dezembro;Cubatão - SP;Chile;2501;1221061;46916851;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2024;12;Dezembro;Guarujá - SP;Estados Unidos;2815;5723622;36586532;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;12;Dezembro;Santos - SP;Argentina;1001;8882766;39736165;Trigo e mistura de trigo com centeio
Importação;2024;11;Novembro;Guarujá - SP;Estados Unidos;2815;985894;8185980;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;11;Novembro;Santos - SP;Argentina;1001;13478383;56300363;Trigo e mistura de trigo com centeio
Importação;2024;10;Outubro;Cubatão - SP;Chile;2501;1213735;46635000;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2024;10;Outubro;Guarujá - SP;Estados Unidos;2815;4202549;34922368;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;10;Outubro;Santos - SP;Argentina;1001;6435506;24200000;Trigo e mistura de trigo com centeio
Importação;2024;9;Setembro;Cubatão - SP;Chile;2501;1354880;52062406;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2024;9;Setembro;Guarujá - SP;Estados Unidos;2815;2409874;20029416;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;9;Setembro;Santos - SP;Argentina;1001;13036199;47400726;Trigo e mistura de trigo com centeio
Importação;2024;8;Agosto;Cubatão - SP;Chile;2501;1336902;51327642;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2024;8;Agosto;Guarujá - SP;Estados Unidos;2815;1946588;15915829;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2024;8;Agosto;Santos - SP;Argentina;1001;13281735;48850293;Trigo e mistura de trigo com centeio
Importação;2024;7;Julho;Cubatão - SP;Chile;2501;1342787;52305705;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
