Fluxo;Ano;mes_numero;mes_nome;Município;Valor US$ FOB;Quilograma Líquido
Importação;2020;2;Fevereiro;Cubatão - SP;7297175;98444495
Importação;2020;2;Fevereiro;Guarujá - SP;22835332;40357233
Importação;2020;2;Fevereiro;Santos - SP;56338983;149998701
Importação;2020;3;Março;Cubatão - SP;22200329;143697764
Importação;2020;3;Março;Guarujá - SP;36344631;50486807
Importação;2020;3;Março;Santos - SP;63862956;148925000
Importação;2020;4;Abril;Cubatão - SP;14031906;172456147
Importação;2020;4;Abril;Guarujá - SP;18343870;36216538
Importação;2020;4;Abril;Santos - SP;81450702;278325407
Importação;2020;5;Maio;Cubatão - SP;33021509;196224213
Importação;2020;5;Maio;Guarujá - SP;21763601;49309652
Importação;2020;5;Maio;Santos - SP;41227848;160966134
Importação;2020;6;Junho;Cubatão - SP;29435131;180652061
Importação;2020;6;Junho;Guarujá - SP;10614700;33890972
Importação;2020;6;Junho;Santos - SP;57109270;192894321
Importação;2020;7;Julho;Cubatão - SP;34350368;216481930
Importação;2020;7;Julho;Guarujá - SP;12350044;57651598
Importação;2020;7;Julho;Santos - SP;100604179;165243787
Importação;2020;8;Agosto;Cubatão - SP;22038628;151469336
Importação;2020;8;Agosto;Guarujá - SP;8680071;40765669
Importação;2020;8;Agosto;Santos - SP;72990972;211399602
Importação;2020;9;Setembro;Cubatão - SP;18034883;79137029
Importação;2020;9;Setembro;Guarujá - SP;19000569;36463036
Importação;2020;9;Setembro;Santos - SP;45418967;106137838
Importação;2020;10;Outubro;Cubatão - SP;21129204;131930707
Importação;2020;10;Outubro;Guarujá - SP;18137213;47880240
Importação;2020;10;Outubro;Santos - SP;73735885;237236525
Importação;2020;11;Novembro;Cubatão - SP;24624424;158441591
Importação;2020;11;Novembro;Guarujá - SP;25283634;51449409
Importação;2020;11;Novembro;Santos - SP;66953992;143608845
Importação;2020;12;Dezembro;Cubatão - SP;19965868;75778119
Importação;2020;12;Dezembro;Guarujá - SP;24100361;64225855
Importação;2020;12;Dezembro;Santos - SP;49944624;121766090
Importação;2021;1;Janeiro;Cubatão - SP;17519416;132724850
Importação;2021;1;Janeiro;Guarujá - SP;21070399;41741393
Importação;2021;1;Janeiro;Santos - SP;64634620;106393597
Importação;2021;2;Fevereiro;Cubatão - SP;18286447;133264333
Importação;2021;2;Fevereiro;Guarujá - SP;17646772;40492469
Importação;2021;2;Fevereiro;Santos - SP;61672322;144524298
Importação;2021;3;Março;Cubatão - SP;61953137;217850148
Importação;2021;3;Março;Guarujá - SP;29489135;51125543
Importação;2021;3;Março;Santos - SP;102875383;202876857
Importação;2021;4;Abril;Cubatão - SP;30207640;117870431
Importação;2021;4;Abril;Guarujá - SP;29043777;30560263
Importação;2021;4;Abril;Santos - SP;83098163;156698855
Importação;2021;5;Maio;Cubatão - SP;62205019;173815560
Importação;2021;5;Maio;Guarujá - SP;21265980;36704877
Importação;2021;5;Maio;Santos - SP;74895711;167511773
Importação;2021;6;Junho;Cubatão - SP;116708781;274276172
Importação;2021;6;Junho;Guarujá - SP;24447835;30746607
Importação;2021;6;Junho;Santos - SP;58629808;129146851
Importação;2021;7;Julho;Cubatão - SP;73888509;191149253
Importação;2021;7;Julho;Guarujá - SP;26691351;16169011
Importação;2021;7;Julho;Santos - SP;88959422;183146662
Importação;2021;8;Agosto;Cubatão - SP;137814822;286619036
Importação;2021;8;Agosto;Guarujá - SP;30461728;32555293
Importação;2021;8;Agosto;Santos - SP;75127226;157196192
Importação;2021;9;Setembro;Cubatão - SP;72149043;213706586
Importação;2021;9;Setembro;Guarujá - SP;40318795;43925378
Importação;2021;9;Setembro;Santos - SP;76794226;174222946
Importação;2021;10;Outubro;Cubatão - SP;115121762;321416181
Importação;2021;10;Outubro;Guarujá - SP;45023016;52082677
Importação;2021;10;Outubro;Santos - SP;94025515;150471150
Importação;2021;11;Novembro;Cubatão - SP;110390029;226781669
Importação;2021;11;Novembro;Guarujá - SP;17823042;8140684
Importação;2021;11;Novembro;Santos - SP;93542526;162326514
Importação;2021;12;Dezembro;Cubatão - SP;76853556;232529259
Importação;2021;12;Dezembro;Guarujá - SP;20930070;19799666
Importação;2021;12;Dezembro;Santos - SP;68141375;137397792
